age,blockNum,center,colormap,completionCode,correct,correlation,currentOffsets,distance,education,engagementCorrect,gender,generationTime,modelChoice,noiseAmplitude,noisePerturb,noisePerturbCount,prolificId,responseTime,selectedDecoyType,selection,stimulusCorrect,stimulusNum,trialNum,vis,subjectid
35-44,22,0.098716,Hue-0 with Wave-6,,1,0,0.0,0.07966417982457,high_school,3,male,942,2,1.1,1.9,1,5a381de00006450001bf2691,6751,1,5,75,40,2,fieldSmooth,1
35-44,23,0.098716,Hue-7 with Wave-2,,1,0,48.9271395181075,0.110411794068585,high_school,3,male,2051,2,1.1,1.9,1,5a381de00006450001bf2691,4235,1,6,75,41,1,fieldSmooth,1
35-44,23,0.098716,Hue-7 with Wave-2,,1,0,48.9271395181075,0.0502227339531522,high_school,3,male,945,2,1.1,1.9,1,5a381de00006450001bf2691,14025,1,5,75,42,2,fieldSmooth,1
35-44,24,0.098716,Hue-5 with Wave-1,,1,0,43.48809406996964,0.0877541285154157,high_school,3,male,2134,2,1.1,1.9,1,5a381de00006450001bf2691,5374,1,1,75,43,1,fieldSmooth,1
35-44,24,0.098716,Hue-5 with Wave-1,,1,0,43.48809406996964,0.0512353946473422,high_school,3,male,958,2,1.1,1.9,1,5a381de00006450001bf2691,7120,1,5,75,44,2,fieldSmooth,1
35-44,25,0.098716,Hue-5 with Wave-4,,1,0,43.48809406996964,0.134178090860425,high_school,3,male,2091,1,1.1,1.9,1,5a381de00006450001bf2691,4746,0,3,75,45,1,fieldSmooth,1
35-44,25,0.098716,Hue-5 with Wave-4,,1,0,43.48809406996964,0.0484238117486831,high_school,3,male,1050,2,1.1,1.9,1,5a381de00006450001bf2691,3544,1,6,75,46,2,fieldSmooth,1
35-44,26,0.098716,Hue-7 with Wave-6,,0,0,48.9271395181075,0.1019818337498573,high_school,3,male,1964,0,1.1,1.9,1,5a381de00006450001bf2691,6218,-1,5,75,47,1,fieldSmooth,1
35-44,26,0.098716,Hue-7 with Wave-6,,1,0,48.9271395181075,0.0709345585905593,high_school,3,male,1043,1,1.1,1.9,1,5a381de00006450001bf2691,3752,0,3,75,48,2,fieldSmooth,1
35-44,27,0.098716,Hue-3 with Wave-8,,1,0,0.7178951735859784,0.1087783036545115,high_school,3,male,1858,1,1.1,1.9,1,5a381de00006450001bf2691,4198,0,6,75,49,1,fieldSmooth,1
35-44,27,0.098716,Hue-3 with Wave-8,,1,0,0.7178951735859784,0.0672968109764445,high_school,3,male,1088,2,1.1,1.9,1,5a381de00006450001bf2691,8780,1,3,75,50,2,fieldSmooth,1
35-44,28,0.098716,Hue-3 with Wave-2,,1,0,0.7178951735859784,0.1103652085675203,high_school,3,male,1935,2,1.1,1.9,1,5a381de00006450001bf2691,6292,1,2,75,51,1,fieldSmooth,1
35-44,28,0.098716,Hue-3 with Wave-2,,1,0,0.7178951735859784,0.0644349036702689,high_school,3,male,1034,2,1.1,1.9,1,5a381de00006450001bf2691,4270,1,6,75,52,2,fieldSmooth,1
35-44,29,0.098716,Hue-5 with Wave-5,,1,0,43.48809406996964,0.0866109563456442,high_school,3,male,1956,2,1.1,1.9,1,5a381de00006450001bf2691,4379,1,4,75,53,1,fieldSmooth,1
35-44,29,0.098716,Hue-5 with Wave-5,,1,0,43.48809406996964,0.1258791812454092,high_school,3,male,989,2,1.1,1.9,1,5a381de00006450001bf2691,9912,1,5,75,54,2,fieldSmooth,1
35-44,30,0.098716,Hue-5 with Wave-9,,1,0,43.48809406996964,0.1525443437160296,high_school,3,male,1942,1,1.1,1.9,1,5a381de00006450001bf2691,5288,0,6,75,55,1,fieldSmooth,1
35-44,30,0.098716,Hue-5 with Wave-9,,1,0,43.48809406996964,0.088700323032332,high_school,3,male,1022,1,1.1,1.9,1,5a381de00006450001bf2691,4295,0,1,75,56,2,fieldSmooth,1
35-44,32,0.098716,Hue-3 with Wave-5,,1,0,0.7178951735859784,0.0624146341105318,high_school,3,male,2042,2,1.1,1.9,1,5a381de00006450001bf2691,5728,1,1,75,57,1,fieldSmooth,1
35-44,32,0.098716,Hue-3 with Wave-5,,1,0,0.7178951735859784,0.1023054742608385,high_school,3,male,1024,1,1.1,1.9,1,5a381de00006450001bf2691,10870,0,1,75,58,2,fieldSmooth,1
35-44,33,0.098716,Hue-3 with Wave-0,,1,0,0.7178951735859784,0.100183426564088,high_school,3,male,2055,1,1.1,1.9,1,5a381de00006450001bf2691,5357,0,5,75,59,1,fieldSmooth,1
35-44,33,0.098716,Hue-3 with Wave-0,,1,0,0.7178951735859784,0.0787902400781277,high_school,3,male,1007,1,1.1,1.9,1,5a381de00006450001bf2691,12955,0,6,75,60,2,fieldSmooth,1
35-44,34,0.098716,Hue-7 with Wave-0,,1,0,48.9271395181075,0.0544864611056483,high_school,3,male,1999,1,1.1,1.9,1,5a381de00006450001bf2691,16137,0,6,75,61,1,fieldSmooth,1
35-44,34,0.098716,Hue-7 with Wave-0,,1,0,48.9271395181075,0.0783134265985564,high_school,3,male,978,1,1.1,1.9,1,5a381de00006450001bf2691,10718,0,6,75,62,2,fieldSmooth,1
35-44,35,0.098716,Hue-7 with Wave-4,,1,0,48.9271395181075,0.0821248685187393,high_school,3,male,2108,1,1.1,1.9,1,5a381de00006450001bf2691,4020,0,3,75,63,1,fieldSmooth,1
35-44,35,0.098716,Hue-7 with Wave-4,,1,0,48.9271395181075,0.0409339781297434,high_school,3,male,972,1,1.1,1.9,1,5a381de00006450001bf2691,9176,0,1,75,64,2,fieldSmooth,1
